KDRI_min,KDRI_max,KDPI
0,0.493245627,0%
0.493245627,0.573727921,1%
0.573727921,0.596767672,2%
0.596767672,0.613593882,3%
0.613593882,0.626450511,4%
0.626450511,0.637975116,5%
0.637975116,0.650768049,6%
0.650768049,0.662307056,7%
0.662307056,0.671396102,8%
0.671396102,0.680581295,9%
0.680581295,0.690064643,10%
0.690064643,0.698335942,11%
0.698335942,0.707830939,12%
0.707830939,0.715853315,13%
0.715853315,0.723338484,14%
0.723338484,0.73092531,15%
0.73092531,0.737254594,16%
0.737254594,0.745035061,17%
0.745035061,0.752165424,18%
0.752165424,0.758896405,19%
0.758896405,0.766418434,20%
0.766418434,0.774046755,21%
0.774046755,0.7807065,22%
0.7807065,0.787170919,23%
0.787170919,0.79385536,24%
0.79385536,0.801186119,25%
0.801186119,0.80821271,26%
0.80821271,0.81471575,27%
0.81471575,0.822185698,28%
0.822185698,0.828903115,29%
0.828903115,0.835118206,30%
0.835118206,0.84309132,31%
0.84309132,0.851213245,32%
0.851213245,0.858828524,33%
0.858828524,0.866138026,34%
0.866138026,0.873717659,35%
0.873717659,0.881349168,36%
0.881349168,0.889305907,37%
0.889305907,0.896972567,38%
0.896972567,0.904732463,39%
0.904732463,0.91295015,40%
0.91295015,0.921318023,41%
0.921318023,0.929954145,42%
0.929954145,0.938618655,43%
0.938618655,0.94823587,44%
0.94823587,0.956657348,45%
0.956657348,0.96552624,46%
0.96552624,0.973516018,47%
0.973516018,0.982011755,48%
0.982011755,0.991244554,49%
0.991244554,1,50%
1,1.009066857,51%
1.009066857,1.017686588,52%
1.017686588,1.027532195,53%
1.027532195,1.036220542,54%
1.036220542,1.045963008,55%
1.045963008,1.056031485,56%
1.056031485,1.064676503,57%
1.064676503,1.074090224,58%
1.074090224,1.083633775,59%
1.083633775,1.092759994,60%
1.092759994,1.102210821,61%
1.102210821,1.112728381,62%
1.112728381,1.122962183,63%
1.122962183,1.132052096,64%
1.132052096,1.142156338,65%
1.142156338,1.152335324,66%
1.152335324,1.163890183,67%
1.163890183,1.17585789,68%
1.17585789,1.186101644,69%
1.186101644,1.197765814,70%
1.197765814,1.210065633,71%
1.210065633,1.220605443,72%
1.220605443,1.232681651,73%
1.232681651,1.245777708,74%
1.245777708,1.261018843,75%
1.261018843,1.274494972,76%
1.274494972,1.288522145,77%
1.288522145,1.30407503,78%
1.30407503,1.320285499,79%
1.320285499,1.335933101,80%
1.335933101,1.350870231,81%
1.350870231,1.365895148,82%
1.365895148,1.382213224,83%
1.382213224,1.398575194,84%
1.398575194,1.416368215,85%
1.416368215,1.435980656,86%
1.435980656,1.45675302,87%
1.45675302,1.479718697,88%
1.479718697,1.503110308,89%
1.503110308,1.526757186,90%
1.526757186,1.551878294,91%
1.551878294,1.585173714,92%
1.585173714,1.621805444,93%
1.621805444,1.657525786,94%
1.657525786,1.70330418,95%
1.70330418,1.75663843,96%
1.75663843,1.815688982,97%
1.815688982,1.892538406,98%
1.892538406,2.020829357,99%
2.020829357,2.970071421,100%
2.970071421,999999999,100%
